Timestamp,Difficulty [Object Oriented Programming],Difficulty [Software Design and Development],Difficulty [Programming with Data],Difficulty [Agile Software Projects],Difficulty [Computer Security],Difficulty [Graphics Programming],Difficulty [Algorithms and Data Structures II],"Difficulty [Databases, Networks and the Web]",Time [Object Oriented Programming],Time [Software Design and Development],Time [Programming with Data],Time [Agile Software Projects],Time [Computer Security],Time [Graphics Programming],Time [Algorithms and Data Structures II],"Time [Databases, Networks and the Web]",Quality [Object Oriented Programming],Quality [Software Design and Development],Quality [Programming with Data],Quality [Agile Software Projects],Quality [Computer Security],Quality [Graphics Programming],Quality [Algorithms and Data Structures II],"Quality [Databases, Networks and the Web]",Self-Learning [Object Oriented Programming],Self-Learning [Software Design and Development],Self-Learning [Programming with Data],Self-Learning [Agile Software Projects],Self-Learning [Computer Security],Self-Learning [Graphics Programming],Self-Learning [Algorithms and Data Structures II],"Self-Learning [Databases, Networks and the Web]",Learning [Object Oriented Programming],Learning [Software Design and Development],Learning [Programming with Data],Learning [Agile Software Projects],Learning [Computer Security],Learning [Graphics Programming],Learning [Algorithms and Data Structures II],"Learning [Databases, Networks and the Web]",Interest [Object Oriented Programming],Interest [Software Design and Development],Interest [Programming with Data],Interest [Agile Software Projects],Interest [Computer Security],Interest [Graphics Programming],Interest [Algorithms and Data Structures II],"Interest [Databases, Networks and the Web]"
10/03/2023 16:59:45,Very Difficult,Moderate,Moderate,Very Difficult,Not Applicable,Moderate,Difficult,Not Applicable,8-10,4-6,4-6,8-10,Not Applicable,2-4,6-8,Not Applicable,Very Good,Normal,Very Good,Normal,Not Applicable,Very Good,Good,Not Applicable,Totally sufficient,Mostly sufficient,Mostly sufficient,Hardly sufficient,Not Applicable,Totally sufficient,Mostly sufficient,Not Applicable,A Lot,A Little,A Lot,A Little,Not Applicable,A Good Amount,A Good Amount,Not Applicable,Very Interesting,Very Boring,Very Interesting,Very Boring,Not Applicable,Interesting,Fine,Not Applicable
10/03/2023 18:31:58,Moderate,Moderate,Very Difficult,Very Difficult,Easy,Easy,Moderate,Difficult,6-8,4-6,6-8,8-10,2-4,4-6,6-8,6-8,Very Good,Good,Very Poor,Poor,Poor,Good,Normal,Normal,Totally sufficient,Mostly sufficient,Not at all,Not at all,Just sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,A Lot,A Good Amount,Nothing,Nothing,A Little,A Good Amount,A Good Amount,A Good Amount,Very Interesting,Very Interesting,Fine,Very Boring,Fine,Interesting,Fine,Fine
10/03/2023 18:35:24,Very Difficult,Easy,,,,Easy,,,6-8,0-2,,,,2-4,,,Very Good,Normal,,,,Good,,,Just sufficient,Mostly sufficient,,,,Mostly sufficient,,,A Lot,A Good Amount,,,,A Little,,,Interesting,Interesting,,,,Fine,,
19/03/2023 00:42:57,Moderate,Easy,Difficult,Very Difficult,,Easy,Moderate,Moderate,8-10,4-6,6-8,8-10,4-6,4-6,6-8,4-6,Very Good,Normal,Very Poor,Very Poor,Poor,Very Good,Good,Good,Totally sufficient,Mostly sufficient,Hardly sufficient,Not at all,Mostly sufficient,Totally sufficient,Totally sufficient,Hardly sufficient,A Lot,A Little,Nothing,Nothing,A Little,A Good Amount,A Lot,A Good Amount,Very Interesting,Boring,Very Boring,Very Boring,Fine,Interesting,Interesting,Interesting
11/03/2023 17:31:20,Very Difficult,Difficult,Difficult,Moderate,Easy,Easy,Moderate,,8-10,6-8,6-8,4-6,2-4,4-6,6-8,,Very Good,Good,Poor,Normal,Normal,Very Good,Very Good,,Hardly sufficient,Just sufficient,Hardly sufficient,Just sufficient,Hardly sufficient,Just sufficient,Mostly sufficient,,A Lot,A Good Amount,A Little,A Little,A Good Amount,A Lot,A Lot,,Very Interesting,Interesting,Fine,Boring,Fine,Very Interesting,Interesting,
16/03/2023 12:31:40,Moderate,Moderate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4-6,4-6,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Good,Good,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Just sufficient,Mostly sufficient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Lot,A Little,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Very Interesting,Boring,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
27/03/2023 14:47:37,Difficult,Difficult,Moderate,Very Difficult,Easy,Moderate,Difficult,Difficult,8-10,6-8,6-8,10+,4-6,6-8,6-8,6-8,Normal,Poor,Normal,Very Poor,Normal,Very Good,Good,Good,Just sufficient,Just sufficient,Just sufficient,Not at all,Mostly sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,A Little,A Good Amount,A Little,A Little,A Good Amount,A Good Amount,A Good Amount,A Good Amount,Fine,Fine,Fine,Very Boring,Fine,Interesting,Interesting,Interesting
28/03/2023 14:28:09,Very Difficult,Moderate,Moderate,,Very Easy,Easy,Difficult,Moderate,6-8,4-6,4-6,,0-2,0-2,6-8,2-4,Very Good,Good,Normal,,Normal,Good,Good,Good,Not at all,Just sufficient,Hardly sufficient,,Just sufficient,Hardly sufficient,Just sufficient,Hardly sufficient,A Lot,A Lot,A Lot,,Nothing,A Good Amount,A Lot,A Good Amount,Very Interesting,Very Interesting,Interesting,,Very Boring,Fine,Fine,Fine
28/03/2023 15:33:14,Very Difficult,Difficult,Moderate,Very Difficult,Difficult,Very Easy,Difficult,Difficult,10+,8-10,10+,10+,4-6,0-2,8-10,8-10,Very Good,Good,Very Poor,Very Poor,Good,Very Good,Very Good,Very Good,Totally sufficient,Totally sufficient,Mostly sufficient,Not at all,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,A Lot,A Good Amount,A Good Amount,Nothing,A Good Amount,A Good Amount,A Lot,A Lot,Very Interesting,Interesting,Boring,Very Boring,Interesting,Very Interesting,Very Interesting,Very Interesting
28/03/2023 16:28:02,Very Difficult,Not Applicable,Not Applicable,Very Difficult,Not Applicable,Easy,Moderate,Moderate,6-8,Not Applicable,Not Applicable,8-10,Not Applicable,0-2,0-2,2-4,Good,Not Applicable,Not Applicable,Very Poor,Not Applicable,Normal,Normal,Poor,Just sufficient,Not Applicable,Not Applicable,Not at all,Not Applicable,Totally sufficient,Just sufficient,Just sufficient,A Good Amount,Not Applicable,Not Applicable,Nothing,Not Applicable,A Good Amount,A Lot,A Lot,Fine,Not Applicable,Not Applicable,Very Boring,Not Applicable,Fine,Fine,Boring
28/03/2023 16:49:57,Easy,Very Easy,Easy,Very Difficult,Difficult,Easy,Very Difficult,Moderate,2-4,2-4,2-4,10+,4-6,6-8,10+,4-6,Very Good,Very Good,Very Poor,Very Poor,Very Poor,Very Good,Poor,Normal,Not at all,Not at all,Hardly sufficient,Totally sufficient,Just sufficient,Hardly sufficient,Totally sufficient,Hardly sufficient,A Little,A Little,Nothing,Nothing,Nothing,A Lot,Nothing,A Good Amount,Interesting,Interesting,Fine,Very Boring,Very Boring,Interesting,Very Boring,Interesting
28/03/2023 20:05:48,Difficult,Moderate,Difficult,Very Difficult,Difficult,Moderate,Difficult,Moderate,6-8,4-6,6-8,10+,6-8,4-6,6-8,4-6,Very Good,Good,Poor,Very Poor,Normal,Very Good,Good,Good,Totally sufficient,Totally sufficient,Just sufficient,Hardly sufficient,Mostly sufficient,Totally sufficient,Totally sufficient,Totally sufficient,A Lot,A Good Amount,A Little,Nothing,A Good Amount,A Lot,A Lot,A Good Amount,Very Interesting,Fine,Boring,Very Boring,Boring,Very Interesting,Interesting,Interesting
29/03/2023 21:01:28,Moderate,Moderate,Moderate,,,,,Easy,6-8,2-4,4-6,,,,,2-4,Very Good,Good,Very Poor,,,,,Normal,Mostly sufficient,Totally sufficient,Not at all,,,,,Just sufficient,A Lot,A Lot,A Little,,,,,A Good Amount,Very Interesting,Very Interesting,Fine,,,,,Fine
02/04/2023 10:01:08,Difficult,,,,,Easy,,Difficult,6-8,,,,,2-4,,4-6,Good,,,,,Good,Normal,,Totally sufficient,,,,,Totally sufficient,,Hardly sufficient,A Lot,,,,,A Lot,A Lot,,Fine,,,,,Interesting,,Fine
